,TEAM,SEASON,PLAYERS
54,1610612743,2018-19,"['Brandon Goodwin', 'DeVaughn Akoon-Purcell', 'Gary Harris', 'Isaiah Thomas', 'Jamal Murray', 'Jarred Vanderbilt', 'Juancho Hernangomez', 'Malik Beasley', 'Mason Plumlee', 'Monte Morris', 'Nick Young', 'Nikola Jokic', 'Paul Millsap', 'Thomas Welsh', 'Torrey Craig', 'Trey Lyles', 'Tyler Lydon', 'Will Barton']"
55,1610612743,2019-20,"['Gary Harris', 'Jamal Murray', 'Jarred Vanderbilt', 'Jerami Grant', 'Jordan McRae', 'Juancho Hernangomez', 'Keita Bates-Diop', 'Malik Beasley', 'Mason Plumlee', 'Michael Porter Jr.', 'Monte Morris', 'Nikola Jokic', 'Noah Vonleh', 'PJ Dozier', 'Paul Millsap', 'Torrey Craig', 'Troy Daniels', 'Vlatko Cancar', 'Will Barton']"
56,1610612744,2012-13,"['Andrew Bogut', 'Andris Biedrins', 'Brandon Rush', 'Carl Landry', 'Charles Jenkins', 'David Lee', 'Draymond Green', 'Festus Ezeli', 'Harrison Barnes', 'Jarrett Jack', 'Jeremy Tyler', 'Kent Bazemore', 'Klay Thompson', 'Malcolm Thomas', 'Richard Jefferson', 'Stephen Curry']"
57,1610612744,2013-14,"['Andre Iguodala', 'Andrew Bogut', 'David Lee', 'Dewayne Dedmon', 'Draymond Green', 'Harrison Barnes', 'Hilton Armstrong', ""Jermaine O'Neal"", 'Jordan Crawford', 'Kent Bazemore', 'Klay Thompson', 'MarShon Brooks', 'Marreese Speights', 'Nemanja Nedovic', 'Ognjen Kuzmic', 'Stephen Curry', 'Steve Blake', 'Toney Douglas']"
58,1610612744,2014-15,"['Andre Iguodala', 'Andrew Bogut', 'Brandon Rush', 'David Lee', 'Draymond Green', 'Festus Ezeli', 'Harrison Barnes', 'James Michael McAdoo', 'Justin Holiday', 'Klay Thompson', 'Leandro Barbosa', 'Marreese Speights', 'Ognjen Kuzmic', 'Shaun Livingston', 'Stephen Curry']"
59,1610612744,2015-16,"['Anderson Varejao', 'Andre Iguodala', 'Andrew Bogut', 'Brandon Rush', 'Draymond Green', 'Festus Ezeli', 'Harrison Barnes', 'Ian Clark', 'James Michael McAdoo', 'Jason Thompson', 'Kevon Looney', 'Klay Thompson', 'Leandro Barbosa', 'Marreese Speights', 'Shaun Livingston', 'Stephen Curry']"
60,1610612744,2016-17,"['Anderson Varejao', 'Andre Iguodala', 'Briante Weber', 'Damian Jones', 'David West', 'Draymond Green', 'Ian Clark', 'JaVale McGee', 'James Michael McAdoo', 'Kevin Durant', 'Kevon Looney', 'Klay Thompson', 'Matt Barnes', 'Patrick McCaw', 'Shaun Livingston', 'Stephen Curry', 'Zaza Pachulia']"
61,1610612744,2017-18,"['Andre Iguodala', 'Chris Boucher', 'Damian Jones', 'David West', 'Draymond Green', 'JaVale McGee', 'Jordan Bell', 'Kevin Durant', 'Kevon Looney', 'Klay Thompson', 'Nick Young', 'Omri Casspi', 'Patrick McCaw', 'Quinn Cook', 'Shaun Livingston', 'Stephen Curry', 'Zaza Pachulia']"
62,1610612744,2018-19,"['Alfonzo McKinnie', 'Andre Iguodala', 'Andrew Bogut', 'Damian Jones', 'Damion Lee', 'DeMarcus Cousins', 'Draymond Green', 'Jacob Evans', 'Jonas Jerebko', 'Jordan Bell', 'Kevin Durant', 'Kevon Looney', 'Klay Thompson', 'Marcus Derrickson', 'Quinn Cook', 'Shaun Livingston', 'Stephen Curry']"
63,1610612744,2019-20,"['Alec Burks', 'Alen Smailagic', 'Andrew Wiggins', 'Chasson Randle', ""D'Angelo Russell"", 'Damion Lee', 'Dragan Bender', 'Draymond Green', 'Eric Paschall', 'Glenn Robinson III', 'Jacob Evans', 'Jeremy Pargo', 'Jordan Poole', 'Juan Toscano-Anderson', 'Kevon Looney', 'Ky Bowman', 'Marquese Chriss', 'Mychal Mulder', 'Omari Spellman', 'Stephen Curry', 'Willie Cauley-Stein', 'Zach Norvell Jr.']"
